Type de fichier;Type de mouvement;Code client;Date et heure fichier;Numero de mouvement;Date de mouvement;Reference article;Numero de lot;Numero de serie;Quantite article;Reference secondaire;Code barre sur l'article;Designation article;Code fournisseur;Transporteur;Nombre UM;Type UM;Type de conditionnement;Nom livraison;Adresse1 livraison;Adresse2 livraison;Code postal livraison;Localite livraison;Code pays livraison;Tel livraison;Mail livraison;Contact livraison;Numero de palette;Millesime;Couleur du vin;Accise
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112542;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112544;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112545;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060112603;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101461;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060105714;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101482;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111562;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101482;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111573;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101482;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111607;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101482;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111609;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101482;;;F
MOUVEMENT;LV;EDI-WMS-SHIPPER-ID-001;20231017175848;21B01118;20230926;404-600-02;;224703060111611;1;;;YINGLI 410 / 36 - 14760w;YINGLI;;1;UN;PANNEAU;ZIEGLER;LOGISTIQUE ZIEGLER;;63000;CLERMONT FERRAND;FR;;;;S22E3383644P060101482;;;F
